tracking_id	C1_rate	C2_rate	C3_rate	mean_of_rate
AT1G01010.1	-0.018442706690824	-0.0303365731813068	-0.105004441004168	-0.0512612402920995
AT1G01020.1	0.0778418437915356	0.11403999701706	0.106009982450786	0.0992972744197937
AT1G01020.2	0.466835149394539	-3.06799084966125e-05	-0.00906719177742856	0.152579092569538
AT1G01030.1	-0.044617015743642	-0.0457333939725878	-0.161102191189318	-0.0838175336351827
AT1G01040.1	0.10619176508176	0.121291716379147	0.0589391413085424	0.0954742075898165
AT1G01040.2	0.824072146526266	0.0724645947406013	0.503589378615878	0.466708706627582
AT1G01046.1	-0.331056870895218	0	-1.81200234119523	-0.714353070696814
AT1G01050.1	-0.033951824695037	-0.00177183814009848	-0.0428421956970609	-0.0261886195107321
AT1G01060.1	0.837919076751871	0.406091135023053	0.282495200286995	0.508835137353973
AT1G01060.2	0.742202706238117	0.593546389688567	0.670662716425656	0.66880393745078
AT1G01060.3	0.0618331194808096	0.26108782834458	0.295284481382331	0.206068476402574
AT1G01060.4	0.296299476567187	0.260370511091147	0.251831777478819	0.269500588379051
AT1G01060.5	5.73655356538454e-08	-0.000242142887393179	-8.73303556601171e-07	-8.09862751380422e-05
AT1G01070.1	0.336897398932631	0.246776392483112	0.278914497140032	0.287529429518592
AT1G01070.2	-0.0369096132773834	0.00202025856443393	-0.0298234401895889	-0.0215709316341795
AT1G01073.1	0	0	0	0
AT1G01080.1	0.049343230541403	0.0958091926929314	0.0827744048545947	0.0759756093629763
AT1G01080.2	0.262606398773487	-0.000805390321026748	-0.00689063528079517	0.084970124390555
AT1G01090.1	0.0252476751801139	0.0456399232522915	0.0377026719535936	0.036196756795333
AT1G01100.1	-0.987823828281823	-0.292022991318684	1.51876481610818	0.0796393321692235
AT1G01100.2	-0.0712671927764023	-0.0812342787457002	-0.0554715644653813	-0.0693243453291613
AT1G01100.3	-0.138289099376072	-0.0368391556631428	-0.13345044728754	-0.102859567442252
AT1G01100.4	-0.843039086613521	-0.0203207917342119	0.371752849030212	-0.163869009772507
AT1G01110.1	-0.621464314595524	0.962182331215317	-1.19498127269826	-0.284754418692824
AT1G01110.2	0.179530087342001	0.0968959083159147	1.27862390711534	0.518349967591085
AT1G01115.1	0	0	0	0
AT1G01120.1	0.420386487755529	0.415178593331959	0.383150606728381	0.40623856260529
AT1G01130.1	0.0489915923655218	0.246451006284901	1.38312409593716	0.559522231529193
AT1G01140.1	0.386135178262221	0.365984349934881	0.263281918707053	0.338467148968052
AT1G01140.2	0.100917161874723	0.14258621722735	0.422262482763665	0.221921953955246
AT1G01140.3	0.950729258576267	-0.103724150647733	-0.0174007545840679	0.276534784448155
AT1G01150.1	0.612269980533953	0	0	0.204089993511318
AT1G01160.1	0.0688830341413219	0.0310483573784617	0.0116112451406174	0.0371808788868003
AT1G01160.2	-0.000234517153644288	-0.00118266099881776	-0.000994169817980404	-0.00080378265681415
AT1G01170.1	-0.0773659810565137	-0.00413157778328373	-0.0292151713149816	-0.0369042433849264
AT1G01170.2	-0.262528457903425	0.287935408753648	-0.720782004810488	-0.231791684653422
AT1G01180.1	-0.136668885063379	-0.189647967934105	-0.135372228818024	-0.153896360605169
AT1G01183.1	0	0	0	0
AT1G01190.1	0.0217565943426713	-0.0641858267649986	0.00636363530428121	-0.0120218657060153
AT1G01200.1	1.22038032681111	1.42280937197333	1.47470618482599	1.37263196120347
AT1G01210.1	0.00782753217838356	-0.0152868547523086	0.0669124438622437	0.0198177070961062
AT1G01220.1	0.0486259140101731	0.103322470397639	0.0863107252305643	0.079419703212792
AT1G01225.1	-0.0219311452414049	0.321946226140182	0.204047200612763	0.168020760503847
AT1G01230.1	0.0386551985165645	0.0482851880776467	0.0364702997623247	0.0411368954521786
AT1G01240.1	0.208612465111332	0.178324810444782	0.19147544185947	0.192804239138528
AT1G01240.2	0.0775297711377058	1.40179489537426	0.51429806539559	0.664540910635853
AT1G01240.3	1.17179193867572	1.28445753812267	-1.14476884654149	0.437160210085638
AT1G01250.1	1.33905217525398	-0.167633336211836	0.168002817115155	0.446473885385768
AT1G01260.1	0.227564929350242	0.093624640410447	0.171674380105998	0.164287983288896
AT1G01260.2	-0.00890856401425242	0.867234931279109	1.39873743123135	0.752354599498737
AT1G01260.3	0.29931887171358	0.000592551455855357	0.136702065198657	0.145537829456031
AT1G01270.1	0	0	0	0
AT1G01280.1	0.353953815702062	0	0.431363459150881	0.261772424950981
AT1G01290.1	0.865927651422595	0.782184335290704	0.174924762682527	0.607678916465275
